N,TZVI,322544N0353129E,M,טירת צבי
Y,TALSR,314909N0345503E,M,טל שחר
N,TELAL,305932N0344548E,M,טללים
Y,YAHEL,300502N0350802E,M,יהל
N,RUHAM,305933N0345443E,M,ירוחם
N,YARHV,320860N0345816E,M,ירחיב
N,YASRS,315510N0345100E,R,ישרש
N,YATED,311217N0342004E,R,יתד
N,KOHAV,323558N0353240E,M,כוכב הירדן
Y,SHAHR,315735N0352019E,R,כוכב השחר
N,KNFHA,304338N0344630E,M,כלא נפחא
Y,DUMIM,314821N0351930E,M,כפר אדומים
Y,HASID,324455N0350441E,M,כפר חסידים
Y,NAHEM,314449N0344921E,M,כפר מנחם
Y,TAVOR,324125N0352515E,M,כפר תבור
Y,DESHE,325235N0353246E,M,כרי דשא
Y,CNHRL,323837N0345851E,M,כרם מהרל
Y,KRMIL,325534N0351800E,R,כרמיאל
Y,BASAN,330852N0353821E,R,להבות הבשן
N,MMODI,315615N0345916E,R,מבוא מודיעין
Y,MIGDL,325018N0353037E,M,מגדל
Y,ASDOD,314916N0344222E,M,מחלף אשדוד
N,DAROM,324740N0345738E,M,מחלף דרום
Y,LATRU,315025N0345913E,M,מחלף לטרון
N,MNSZN,315620N0344855E,R,מחלף נס ציונה
N,MNSHR,315433N0345330E,M,מחלף נשרים
Y,MKGAT,313556N0344843E,M,מחלף קרית גת
N,MNACH,320252N0345946E,R,מחלף נחשונים
Y,METAR,311916N0345710E,M,מיתר
N,MNHMA,323927N0353345E,R,מנחמיה
Y,ZUKIM,314306N0352701E,M,מעיינות צוקים
Y,MESAR,303023N0345644E,M,מעלה מישר
Y,MZDOT,312123N0350626E,M,מצודות
Y,SHALM,313338N0352410E,R,מצפה שלם
N,MRHVA,323551N0351848E,M,מרחביה
N,MEHOL,315739N0344551E,R,משולש חולות
Y,MINGV,312208N0344246E,M,משמר הנגב
Y,ZOHAR,310907N0352221E,M,נווה זוהר
N,NBSOR,311627N0342934E,M,נחל בשור
Y,NNAHS,304916N0345454E,M,נחל נחש
N,NPCHM,300517N0344356E,R,נחל פחמי
N,NZNFM,295953N0344900E,M,נחל צניפים
Y,NAHLA,313936N0344829E,M,נחלה
N,NIZNM,314250N0343747E,M,ניצנים
N,ELYAHU,321142N0345711E,M,ניר אליהו
N,NIRYA,323357N0351456E,M,ניר יפה
Y,NAAMA,315424N0352755E,M,נעמה
N,NSRNI,315542N0344938E,R,נצר סירני
N,TIVOT,312549N0343559E,M,נתיבות
Y,SIGAL,311141N0341734E,M,סיגל
N,SECHR,310523N0345608E,M,סכר
Y,SAMAR,295000N0350144E,M,סמר
Y,SAADD,312756N0343202E,R,סעד
Y,AZOOZ,304733N0342728E,M,עזוז
Y,ENGEV,324654N0353830E,R,עין גב
Y,ENGDI,312802N0352350E,M,עין גדי
N,ENHRD,323318N0352258E,M,עין חרוד
Y,IRRA,311545N0350212E,M,עירא
N,IRON,322859N0350132E,M,עירון
Y,AAKKO,325515N0350549E,M,עכו
Y,AMIOZ,311529N0342411E,M,עמיעוז
N,ETZEM,310522N0345934E,R,עצם
Y,ARRAD,311522N0351236E,M,ערד
Y,ARA,323006N0350405E,M,ערה
Y,ATLIT,324241N0345707E,M,עתלית
N,ZELIM,311257N0343202E,M,צאלים
Y,ZADAM,320739N0353039E,R,צומת אדם
Y,ZBTMS,330044N0353859E,M,צומת בית המכס
Y,ZBTZD,325421N0353802E,M,צומת בית צידה
N,ZBRCH,313955N0343621E,M,צומת ברכיה
N,ZGLNI,324636N0352430E,M,צומת גולני
Y,GOMME,331010N0353411E,R,צומת גומא
Y,HNEGV,310405N0345019E,M,צומת הנגב
Y,ARAVA,305928N0351835E,M,צומת הערבה
Y,RUHOT,303943N0344835E,M,צומת הרוחות
Y,ZHNYA,325546N0352421E,M,צומת חנניה
N,HTRRM,311314N0351456E,M,צומת חתרורים
Y,ZKOCH,330732N0353414E,M,צומת כח
Y,ZLHAV,312227N0344738E,M,צומת להבים
Y,ZMGID,323429N0351130E,M,צומת מגידו
N,ZNYMN,321017N0345726E,R,צומת נווה ימין
Y,HADRA,322757N0345459E,M,צומת נחל חדרה
N,SAYAR,295037N0345016E,M,צומת סיירים
Y,ZETIM,325928N0352903E,M,צומת עין זיתים
Y,ZAMID,325454N0353242E,M,צומת עמיעד
N,ZPLGT,313731N0344524E,M,צומת פלוגות
Y,PAZEL,320310N0352754E,M,צומת פצאל
N,FURDS,323539N0345649E,M,צומת פרדיס
N,ZZHOR,301643N0350113E,M,צומת ציחור
Y,ZKADR,325439N0352825E,M,צומת קדרים
Y,KTORA,295928N0350437E,M,צומת קטורה
Y,SOKET,311832N0345403E,M,צומת שוקת
Y,ZSOMR,325707N0350526E,M,צומת שמרת
N,ZSNGV,313027N0343513E,M,צומת שער הנגב
Y,ZSARA,311335N0344947E,M,צומת שרה
N,ZARAD,311520N0350733E,M,צומת תל ערד
Y,ZOFAR,303332N0351109E,M,צופר
Y,ZEMAH,324224N0353512E,M,צמח
Y,KANIM,311832N0351609E,M,קנאים
Y,KZIOT,305130N0342635E,R,קציעות
N,RMSGI,301506N0343955E,M,רמות שגיא
Y,RAMDR,315501N0345148E,R,רמלה דרום
Y,HOVAV,310815N0344819E,M,רמת חובב
Y,REIMM,312323N0342716E,R,רעים
Y,SELZR,330245N0353418E,M,שדה אליעזר
Y,BOKER,305230N0344712E,M,שדה בוקר
Y,SOREK,315631N0344507E,R,שורק
N,SHIZA,300258N0350053E,M,שזפון
Y,SITIM,301038N0350055E,R,שיטים
Y,SHKMA,313042N0344656E,M,שיקמה
Y,SHARG,314901N0350116E,M,שער הגיא
N,SSOMR,320624N0345956E,R,שער שומרון
N,SRION,304614N0342823E,M,שריונים
Y,SHOVA,314801N0350458E,F,שואבה
Y,TZUBA,314646N0350714E,M,צובה
Y,YKEND,314458N0350805E,M,יד קנדי
Y,HOMMA,314352N0351311E,M,הר חומה
Y,PDUEL,320349N0350223E,M,צומת פדואל
Y,OFRIM,320219N0350153E,M,צומת עופרים
Y,SHLVM,315211N0350000E,M,שעלבים
Y,MKBIM,315300N0350219E,M,מכבים
Y,NILIM,315820N0350215E,M,מערבית לנילי
Y,LLRS,315803N0344513E,ARP,מנחת ראשון לציון
Y,LLTN,321831N0345842E,ARP,מנחת תנובות
Y,LLEV,321550N0345706E,ARP,מנחת עין ורד
Y,LLBS,311714N0344320E,ARP,שדה תימן
Y,LLMG,323550N0351405E,ARP,מגידו
Y,LLMZ,311945N0352318E,ARP,מצדה
Y,LLEY,303718N0351211E,ARP,עין יהב
Y,LLKS,331255N0353542E,ARP,קרית שמונה
Y,LLYO,295404N0350402E,ARP,יטבתה
Y,LLET,293330N0345732E,ARP,אילת
Y,LLBG,320034N0345237E,ARP,בן גוריון
Y,LLHZ,321052N0345000E,ARP,הרצליה
Y,LLHA,324834N0350238E,ARP,חיפה
Y,LLOV,295623N0345617E,ARP,עובדה
Y,LLIB,325852N0353412E,ARP,ראש פינה
Y,LLSD,320657N0344656E,ARP,שדה דב
N,LLOR,314446N0344333E,ARP,מנחת אורות
Y,LLUR,311617N0343215E,ARP,מנחת אורים
Y,LLHF,323209N0352608E,ARP,מנחת אליעז
Y,LLAK,313919N0343636E,ARP,מנחת אשקלון
Y,LLBE,321916N0345841E,ARP,מנחת בארותיים
N,LLBR,312446N0342928E,ARP,מנחת בארי
Y,LLBO,323900N0345558E,ARP,מנחת הבונים
Y,LLBM,314732N0350303E,ARP,מנחת בית מאיר
N,LLBZ,330416N0350727E,ARP,מנחת בצת
N,LLGS,331238N0353711E,ARP,מנחת הגושרים
N,LLDM,310337N0350042E,ARP,מנחת דימונה
Y,LLDT,330117N0352757E,ARP,מנחת דלתון
Y,LLZO,310856N0352236E,ARP,מנחת זוהר
Y,LLHM,321417N0345247E,ARP,מנחת הדרים
N,LLHV,312539N0351820E,ARP,מנחת חבר
N,LLHU,330652N0353453E,ARP,מנחת החולה
N,LLHL,310725N0342241E,ARP,מנחת חולות חלוצה
N,LLCZ,304524N0351632E,ARP,מנחת חצבה
Y,LLTS,314725N0345358E,ARP,מנחת טל שחר
N,LLJO,325602N0354453E,ARP,מנחת יונתן
N,LLYR,305928N0345649E,ARP,מנחת ירוחם
N,LLYE,311413N0342309E,ARP,מנחת ישע
N,LLKU,301822N0350809E,ARP,מנחת כושי 101
N,LLLA,312143N0345235E,ARP,מנחת להב
N,LLMD,324333N0345703E,ARP,מנחת מגדים
Y,LLMS,302435N0345456E,ARP,מנחת מיישר
N,LLMK,325617N0350927E,ARP,מנחת מכר
Y,LLMR,303921N0344825E,ARP,מנחת מצפה רמון
N,LLNK,305642N0352317E,ARP,מנחת נאות הככר
N,LLNM,312835N0343735E,ARP,מנחת ניר משה
N,LLNE,323615N0352334E,ARP,מנחת נעורה
Y,LLNN,315303N0345312E,ARP,מנחת נען
N,LLSG,314034N0344703E,ARP,מנחת סגולה
N,LLSA,330136N0350707E,ARP,מנחת סער
N,LLEA,323731N0345635E,ARP,מנחת עין אילה
N,LLEG,312451N0352247E,ARP,מנחת עין גדי
Y,LLES,322629N0350012E,ARP,עין שמר
Y,LLAR,311358N0351200E,ARP,מנחת ערד
Y,LLFR,302210N0350928E,ARP,מנחת פארן
Y,LLFK,324707N0354302E,ARP,פיק
N,LLPG,313737N0344541E,ARP,מנחת פלוגות
Y,LLZM,303260N0351120E,ARP,מנחת צופר מואה
N,LLZI,301630N0350249E,ARP,מנחת ציחור
Y,LLCA,325422N0351122E,ARP,מנחת ציקלון
Y,LLKZ,305130N0342635E,ARP,קציעות
N,LLKD,314157N0344614E,ARP,מנחת קדמה
N,LLKR,314914N0344802E,ARP,מנחת קידרון
N,LLKA,301726N0350003E,ARP,מנחת קצאא
N,LLRE,314701N0345018E,ARP,מנחת רבדים
N,LLRV,310228N0344237E,ARP,מנחת רביבים
N,LLRU,312745N0344315E,ARP,מנחת רוחמה
N,LLRO,321334N0345057E,ARP,מנחת רונית
N,LLSH,295749N0345132E,ARP,שדה אברהם
N,LLSB,305129N0344810E,ARP,מנחת שדה בוקר
Y,LLSO,325641N0350615E,ARP,מנחת שומרת
N,LLSK,311838N0345400E,ARP,מנחת שוקת
N,LLSI,300938N0350110E,ARP,מנחת שיטים
N,LLSL,315235N0344636E,ARP,מנחת שילר
N,LLTV,324138N0352626E,ARP,מנחת תבור
N,LLTA,323940N0351818E,ARP,מנחת תל עדשים
Y,LLJR,315153N0351309E,ARP,ירושלים-עטרות - סגור
N,KEDEM,311546N0343901E,MARP,קדם
Y,LLHS,314545N0344348E,MARP,חצור
Y,LLRD,323954N0351046E,MARP,רמת דוד
Y,LLRM,304634N0344000E,MARP,רמון
Y,LLHB,311400N0343945E,MARP,חצרים
Y,LLEK,315022N0344918E,MARP,תל נוף
Y,LLNV,311230N0350044E,MARP,נבטים
Y,LLPL,315352N0344126E,MARP,פלמחים
