ZETIM,32° 59' 19" N 35° 28' 58" E,עי-זיתי חובה
ENHRD,32° 33' 16" N 35° 22' 56" E,עי-חרוד דרישה
LLEY,30° 37' 18" N 35° 12' 11" E,ARP עי-יהב
LLES,32° 26' 29" N 35° 00' 12" E,ARP עי-שמר
ENGEV,32° 46' 58" N 35° 38' 24" E,עי גב דרישה
EIRON,32° 28' 51" N 35° 01' 28" E,עירו דרישה
AAKKO,32° 55' 07" N 35° 05' 47" E,עכו חובה
AMIOZ,31° 15' 24" N 34° 24' 10" E,עמיעוז דרישה
ETZEM,31° 05' 24" N 34° 59' 35" E,עצ דרישה
LLAR,31° 13' 47" N 35° 11' 23" E,ARP ערד
ARRAA,32° 29' 58" N 35° 04' 01" E,ערה דרישה
ATTIL,32° 21' 30" N 35° 03' 35" E,עתיל דרישה
ATLIT,32° 43' 48" N 34° 56' 00" E,עתלית דרישה
LLFK,32° 47' 07" N 35° 43' 02" E,ARP פיק
LLPL,31° 53' 54" N 34° 41' 24" E,ARP פלמחי
PRHNA,32° 28' 28" N 34° 58' 20" E,פרד-	חנה דרישה
TZUBA,31° 46' 46" N 35° 07' 14" E,צובה דרישה
AVITL,33° 05' 16" N 35° 47' 09" E,צומת-אביטל דרישה
ZADAM,32° 07' 33" N 35° 30' 35" E,צומת-אד דרישה
ZASHD,31° 49' 34" N 34° 42' 30" E,צומת-אשדוד חובה
ZBTMS,33° 00' 40" N 35° 39' 01" E,צומת-בית המכ	 חובה
ZBTZD,32° 54' 14" N 35° 37' 59" E,צומת-בית צידה חובה
ZBRCH,31° 39' 55" N 34° 36' 22" E,צומת-ברכיה דרישה
GOMME,33° 10' 09" N 35° 34' 09" E,צומת-גומא חובה
NEGEV,31° 03' 58" N 34° 50' 17" E,צומת-הנגב דרישה
ARAVA,30° 59' 22" N 35° 18' 33" E,צומת-הערבה דרישה
RUHOT,30° 39' 36" N 34° 48' 32" E,צומת-הרוחות דרישה
ZHNYA,32° 55' 38" N 35° 24' 19" E,צומת-חנניה דרישה
TZHTR,31° 13' 08" N 35° 14' 54" E,צומת-חתרורי דרישה
ZKOCH,33° 07' 31" N 35° 34' 13" E,צומת-כ"ח דרישה
ZLHAV,31° 22' 21" N 34° 47' 36" E,צומת-להבי דרישה
ZMGID,32° 34' 22" N 35° 11' 28" E,צומת-מגידו דרישה
ZMGEN,31° 17' 38" N 34° 25' 56" E,צומת-מג דרישה
ZMSDA,33° 13' 59" N 35° 45' 06" E,צומת-מ	עדה דרישה
ZNYMN,32° 10' 20" N 34° 57' 31" E,צומת-נווה ימי דרישה
HADRA,32° 27' 53" N 34° 54' 44" E,צומת-נחל חדרה דרישה
NCSHN,31° 48' 55" N 34° 54' 58" E,צומת-נחשו דרישה
ZAMID,32° 54' 48" N 35° 32' 32" E,צומת-עמיעד חובה
ARRAD,31° 15' 16" N 35° 12' 35" E,צומת-ערד דרישה
FRDIS,32° 35' 31" N 34° 56' 47" E,צומת-פורדי	 דרישה
ZPLGT,31° 37' 32" N 34° 45' 24" E,צומת-פלוגות חובה
FAZEL,32° 02' 53" N 35° 27' 47" E,צומת-פצאל דרישה
ZZHOR,30° 16' 36" N 35° 01' 12" E,צומת-ציחור דרישה
ZKADR,32° 54' 34" N 35° 28' 26" E,צומת-קדרי דרישה
KTORA,29° 59' 22" N 35° 04' 35" E,צומת-קטורה חובה
SOKET,31° 18' 27" N 34° 54' 04" E,צומת-שוקת דרישה
ZSARA,31° 13' 30" N 34° 49' 40" E,צומת-שרה דרישה
ZOFAR,30° 33' 35" N 35° 11' 12" E,צופר דרישה
ZEMAH,32° 42' 16" N 35° 35' 09" E,צמח דרישה
KEDEM,31° 15' 46" N 34° 39' 01" E,ARP קד
KRYON,32° 50' 36" N 35° 05' 20" E,קיריו דרישה
KANIM,31° 18' 33" N 35° 16' 10" E,קנאי דרישה
LLKZ,30° 51' 31" N 34° 26' 35" E,ARP קציעות
LLKS,33° 12' 42" N 35° 35' 47" E,ARP קרית-שמונה
RSNIM,31° 56' 58" N 34° 48' 07" E,ʤʡʥʧ ראשוני
LLIB,32° 58' 50" N 35° 34' 15" E,ARP ראש-פינה
RISHN,31° 58' 03" N 34° 45' 13" E,ARP ראשו-לציו
LLRM,30° 46' 30" N 34° 40' 00" E,ARP רמו
LLRD,32° 40' 00" N 35° 11' 00" E,ARP רמת-דוד
HOVAV,31° 08' 08" N 34° 48' 18" E,רמת-חובב חובה
REUTE,31° 52' 42" N 35° 01' 28" E,רעות חובה
REIMM,31° 23' 13" N 34° 27' 06" E,רעי דרישה
SELZR,33° 02' 45" N 35° 34' 16" E,שדה-אליעזר חובה
BOKER,30° 52' 30" N 34° 47' 09" E,שדה-בוקר דרישה
LLSD,32° 06' 54" N 34° 46' 54" E,ARP שדה-דב
SDROT,31° 30' 24" N 34° 35' 08" E,שדרות חובה
SOREK,31° 56' 31" N 34° 45' 07" E,שורק דרישה
SORES,31° 47' 59" N 35° 04' 34" E,שורש חובה
SIZFN,30° 02' 51" N 35° 00' 52" E,שיזפו דרישה
SITIM,30° 10' 33" N 35° 00' 52" E,שיטי דרישה
SRION,30° 46' 43" N 34° 27' 50" E,שיריוני דרישה
SMRAT,32° 57' 06" N 35° 05' 24" E,שמרת דרישה
SNNIR,33° 14' 18" N 35° 40' 33" E,שניר דרישה
SHLVM,31° 52' 24" N 34° 59' 01" E,שעלבי דרישה
SHARG,31° 49' 11" N 35° 01' 16" E,שער-הגיא דרישה
SSOMR,32° 06' 23" N 34° 59' 46" E,שער-שומרו דרישה
LLBS,31° 17' 13" N 34° 43' 22" E,ARP תימ
TYONA,32° 00' 17" N 34° 43' 38" E,תל-יונה דרישה
LLEK,31° 50' 12" N 34° 49' 06" E,ARP תל-נו
TARAD,31° 16' 39" N 35° 07' 32" E,תל-ערד דרישה
